"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2025","862.40","873.40","877.80","859.80","1.84M","-1.21%"
"06/01/2025","873.00","863.90","874.20","863.00","2.76M","0.83%"
"05/25/2025","865.80","865.20","869.00","859.20","1.61M","0.85%"
"05/18/2025","858.50","853.10","866.40","848.50","1.80M","0.36%"
"05/11/2025","855.40","846.40","856.90","840.70","1.35M","1.68%"
"05/04/2025","841.30","848.50","849.90","837.30","2.20M","-0.33%"
"04/27/2025","844.10","829.00","847.30","825.90","3.07M","2.14%"
"04/20/2025","826.40","814.50","831.50","811.90","1.72M","1.71%"
"04/13/2025","812.50","791.90","814.60","791.10","1.54M","4.01%"
"04/06/2025","781.20","736.20","798.50","736.20","3.00M","-0.71%"
"03/30/2025","786.80","839.40","846.20","782.80","8.43M","-6.92%"
"03/23/2025","845.30","847.60","850.30","840.60","1.95M","0.28%"
"03/16/2025","842.90","842.80","852.60","840.40","1.57M","0.12%"
"03/09/2025","841.90","851.00","851.80","829.40","1.54M","-0.88%"
"03/02/2025","849.40","862.50","869.00","844.40","2.61M","-1.14%"
"02/23/2025","859.20","844.50","859.50","839.80","2.86M","1.72%"
"02/16/2025","844.70","850.20","855.30","842.80","1.14M","-0.59%"
"02/09/2025","849.70","847.20","856.80","847.20","3.08M","0.38%"
"02/02/2025","846.50","833.70","852.80","829.30","1.97M","0.38%"
"01/26/2025","843.30","824.40","845.40","823.60","3.66M","1.96%"
"01/19/2025","827.10","826.00","835.30","826.00","2.28M","0.11%"
"01/12/2025","826.20","800.90","828.90","796.10","4.63M","3.03%"
"01/05/2025","801.90","799.80","809.40","797.40","1.87M","0.26%"
"12/29/2024","799.80","788.00","803.60","785.80","9.91M","1.09%"
"12/22/2024","791.20","784.10","791.60","782.00","1.29M","0.73%"
"12/15/2024","785.50","804.70","805.30","777.50","5.90M","-2.40%"
"12/08/2024","804.80","814.80","817.40","803.30","2.11M","-0.83%"
"12/01/2024","811.50","808.70","819.40","807.80","3.51M","0.36%"
"11/24/2024","808.60","808.80","810.20","803.80","12.95M","0.31%"
"11/17/2024","806.10","787.20","807.50","785.40","4.05M","2.53%"
"11/10/2024","786.20","790.00","794.00","778.90","2.18M","-0.05%"
"11/03/2024","786.60","794.80","807.30","785.40","3.98M","-1.07%"
"10/27/2024","795.10","803.00","809.20","785.00","2.79M","-0.89%"
"10/20/2024","802.20","812.10","815.00","801.80","2.81M","-1.21%"
"10/13/2024","812.00","800.60","815.40","800.00","3.50M","1.25%"
"10/06/2024","802.00","807.20","808.10","794.80","3.96M","-0.26%"
"09/29/2024","804.10","805.20","809.10","798.30","3.33M","-0.46%"
"09/22/2024","807.80","798.20","809.00","796.80","1.64M","1.24%"
"09/15/2024","797.90","800.50","812.20","797.90","5.30M","-0.61%"
"09/08/2024","802.80","807.20","811.20","797.70","2.32M","0.07%"
"09/01/2024","802.20","821.80","821.80","801.00","3.57M","-2.24%"
"08/25/2024","820.60","819.30","824.70","815.00","","0.60%"
"08/18/2024","815.70","811.60","819.80","809.00","1.78M","0.30%"
"08/11/2024","813.30","799.70","818.60","798.60","2.47M","2.07%"
"08/04/2024","796.80","781.50","800.20","770.70","855.36K","0.18%"
"07/28/2024","795.40","809.80","817.70","794.00","4.29M","-1.35%"
"07/21/2024","806.30","797.30","806.50","783.70","3.54M","1.70%"
"07/14/2024","792.80","798.90","804.00","790.10","1.70M","-1.21%"
"07/07/2024","802.50","795.20","805.00","790.80","905.78K","0.63%"
"06/30/2024","797.50","798.40","805.00","788.20","2.05M","0.45%"
"06/23/2024","793.90","800.20","807.30","793.70","2.17M","-0.84%"
"06/16/2024","800.60","794.40","805.20","788.70","2.72M","1.14%"
"06/09/2024","791.60","806.00","814.30","787.95","1.14M","-2.46%"
"06/02/2024","811.60","822.40","822.80","806.40","1.65M","-0.27%"
"05/26/2024","813.80","818.40","820.70","790.90","1.30M","-0.45%"
"05/19/2024","817.50","829.00","833.00","810.00","1.73M","-1.20%"
"05/12/2024","827.40","826.70","831.40","821.80","1.90M","0.05%"
"05/05/2024","827.00","813.00","829.50","811.00","3.68M","2.75%"
"04/28/2024","804.90","798.20","808.30","769.50","5.31M","1.03%"
"04/21/2024","796.70","779.90","798.10","778.70","1.47M","3.09%"
"04/14/2024","772.80","777.10","783.40","761.90","3.88M","-1.16%"
"04/07/2024","781.90","771.70","786.70","750.10","3.07M","1.24%"
"03/31/2024","772.30","779.70","784.50","767.30","1.39M","-0.63%"
"03/24/2024","777.20","773.40","780.00","767.40","3.88M","0.40%"
"03/17/2024","774.10","757.30","783.20","750.90","2.46M","2.71%"
"03/10/2024","753.70","748.90","763.80","746.98","2.91M","0.25%"
"03/03/2024","751.80","748.70","756.70","742.68","3.60M","0.07%"
"02/25/2024","751.30","751.50","753.50","744.30","1.64M","-0.19%"
"02/18/2024","752.70","751.10","755.75","745.10","1.22M","0.07%"
"02/11/2024","752.20","737.90","753.00","729.50","3.16M","2.08%"
"02/04/2024","736.90","742.10","749.50","735.52","1.83M","-0.66%"
"01/28/2024","741.80","744.40","750.10","740.00","3.09M","-0.35%"
"01/21/2024","744.40","729.70","745.90","726.50","1.43M","2.38%"
"01/14/2024","727.10","745.90","745.90","721.23","5.01M","-2.09%"
"01/07/2024","742.60","745.10","750.79","738.00","1.60M","-0.71%"
"12/31/2023","747.90","753.50","782.60","743.80","3.54M","-0.69%"
"12/24/2023","753.10","753.30","755.70","725.90","3.39M","0.41%"
"12/17/2023","750.00","736.80","775.50","735.60","2.51M","1.63%"
"12/10/2023","738.00","739.30","752.00","734.60","2.52M","-0.35%"
"12/03/2023","740.60","733.00","743.20","729.80","2.33M","0.41%"
"11/26/2023","737.60","732.50","738.45","723.90","1.59M","0.48%"
"11/19/2023","734.10","733.00","736.70","729.20","2.16M","-0.11%"
"11/12/2023","734.90","723.10","736.80","722.32","1.95M","2.08%"
"11/05/2023","719.90","725.30","730.12","715.90","1.57M","-0.54%"
"10/29/2023","723.80","718.60","743.80","713.30","2.60M","1.57%"
"10/22/2023","712.60","722.00","725.90","711.50","3.50M","-1.49%"
"10/15/2023","723.40","744.80","750.26","722.50","2.79M","-2.55%"
"10/08/2023","742.30","732.20","751.00","729.00","2.52M","1.52%"
"10/01/2023","731.20","743.30","744.50","720.70","3.73M","-1.48%"
"09/24/2023","742.20","745.60","748.80","733.80","1.97M","-0.75%"
"09/17/2023","747.80","750.40","754.20","743.30","2.45M","-0.40%"
"09/10/2023","750.80","738.70","755.05","732.90","2.69M","1.94%"
"09/03/2023","736.50","739.40","741.52","726.10","1.96M","0.08%"
"08/27/2023","735.90","729.90","739.30","727.97","1.10M","1.88%"
"08/20/2023","722.30","713.70","727.50","712.70","1.73M","1.16%"
"08/13/2023","714.00","737.40","739.29","709.24","2.37M","-3.34%"
"08/06/2023","738.70","737.10","748.30","731.99","1.88M","-0.12%"
"07/30/2023","739.60","750.20","753.90","726.91","1.14M","-1.48%"
"07/23/2023","750.70","745.00","753.20","744.20","1.09M","0.43%"
"07/16/2023","747.50","722.10","748.90","721.17","623.92K","3.03%"
"07/09/2023","725.50","706.00","729.99","705.00","2.70M","2.56%"
"07/02/2023","707.40","734.60","737.10","704.84","2.21M","-3.65%"
"06/25/2023","734.20","728.40","736.16","721.46","1.10M","0.91%"
"06/18/2023","727.60","739.80","742.80","725.30","1.81M","-2.20%"
"06/11/2023","744.00","751.40","754.76","738.80","2.08M","-0.40%"
"06/04/2023","747.00","754.80","755.70","745.60","1.37M","-0.48%"
"05/28/2023","750.60","752.70","752.97","734.20","1.69M","-0.21%"
"05/21/2023","752.20","765.60","768.90","745.00","1.21M","-1.63%"
"05/14/2023","764.70","766.10","767.94","758.70","1.25M","0.21%"
"05/07/2023","763.10","764.30","766.20","755.80","2.03M","-0.17%"
"04/30/2023","764.40","773.00","776.00","756.10","1.40M","-1.14%"
"04/23/2023","773.20","773.50","777.80","765.08","1.42M","-0.40%"
"04/16/2023","776.30","774.70","779.00","771.40","2.01M","0.60%"
"04/09/2023","771.70","762.20","774.77","759.90","1.35M","1.77%"
"04/02/2023","758.30","751.50","758.60","747.40","2.31M","1.28%"
"03/26/2023","748.70","732.20","750.00","728.00","2.45M","3.13%"
"03/19/2023","726.00","712.90","742.20","705.17","3.94M","1.13%"
"03/12/2023","717.90","759.90","760.90","715.40","3.22M","-5.56%"
"03/05/2023","760.20","778.90","780.70","756.80","4.17M","-2.41%"
"02/26/2023","779.00","774.30","781.90","768.30","2.08M","1.12%"
"02/19/2023","770.40","782.40","782.90","769.20","2.27M","-1.33%"
"02/12/2023","780.80","769.80","785.40","768.70","1.83M","1.65%"
"02/05/2023","768.10","767.40","775.07","761.30","2.87M","-0.36%"
"01/29/2023","770.90","753.60","771.04","751.80","1.98M","1.76%"
"01/22/2023","757.60","759.30","761.90","752.30","1.55M","-0.05%"
"01/15/2023","758.00","765.80","768.50","754.10","4.85M","-0.95%"
"01/08/2023","765.30","751.60","767.40","749.50","2.08M","1.93%"
